PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
6,2,11,86,437,18.3,6.2,516.774,27.225,439.77,423.002
6,2,12,498,428,18.9,6.7,929.155,33.735,766.22,736.868
6,2,13,467,403,18.9,4.6,837.101,36.24,681.52,655.78
6,2,14,553,299,18.3,6.7,738.786,30.364,617.21,594.05
6,2,15,293,284,17.8,5.7,458.194,25.953,388.39,373.264
6,2,16,78,240,17.2,5.2,257.311,21.572,222.17,211.771
6,2,17,82,103,16.7,4.6,109.047,18.02,92.23,84.859
6,2,18,5,27,15.6,5.2,25.292,14.944,22.78,16.795
6,2,19,0,0,15,4.1,0,15,0.00,0
6,2,20,0,0,14.4,4.1,0,14.4,0.00,0
6,2,21,0,0,14.4,2.6,0,14.4,0.00,0
6,2,22,0,0,14.4,2.6,0,14.4,0.00,0
6,2,23,0,0,14.4,2.6,0,14.4,0.00,0
6,3,0,0,0,13.9,2.6,0,13.9,0.00,0
6,3,1,0,0,13.9,2.6,0,13.9,0.00,0
6,3,2,0,0,13.3,2.6,0,13.3,0.00,0
6,3,3,0,0,14.4,1,0,14.4,0.00,0
6,3,4,0,0,14.4,2.1,0,14.4,0.00,0
6,3,5,65,74,15,2.1,60.974,14.71,54.97,48.368
6,3,6,15,127,15.6,2.1,122.216,17.205,108.15,100.441
6,3,7,339,206,17.8,2.1,357.282,25.908,296.89,284.481
6,3,8,827,101,18.9,3.6,657.307,32.937,536.41,516.295
6,3,9,883,114,18.9,3.1,849.825,38.687,681.65,655.905
6,3,10,908,122,19.4,6.2,978.278,36.205,796.60,765.895
6,3,11,921,125,20,6.7,1041.176,37.2,844.02,811.137
6,3,12,909,125,19.4,6.2,1021.659,37.183,828.23,796.079
6,3,13,855,108,18.9,7.7,893.26,32.443,740.67,712.43
6,3,14,874,111,19.4,6.2,804.34,33.279,661.50,636.585
6,3,15,777,96,18.9,5.2,578.587,29.951,475.90,457.914
6,3,16,729,79,17.8,5.7,377.09,24.261,300.76,288.246
6,3,17,490,62,16.7,5.2,144.239,18.77,100.12,92.579
6,3,18,205,26,15.6,4.6,19.934,14.858,17.96,12.066
6,3,19,0,0,15.6,5.7,0,15.6,0.00,0
6,3,20,0,0,15.6,4.1,0,15.6,0.00,0
6,3,21,0,0,15,3.6,0,15,0.00,0
6,3,22,0,0,15,3.6,0,15,0.00,0
6,3,23,0,0,15.6,4.1,0,15.6,0.00,0
6,4,0,0,0,15.6,2.6,0,15.6,0.00,0
6,4,1,0,0,15,2.1,0,15,0.00,0
6,4,2,0,0,15.6,2.1,0,15.6,0.00,0
6,4,3,0,0,15.6,1.5,0,15.6,0.00,0
6,4,4,0,2,15.6,0,1.94,11.976,1.77,0
6,4,5,3,26,15.6,1.5,24.673,14.174,22.30,16.324
6,4,6,2,101,15.6,2.1,95.485,16.353,85.35,78.122
6,4,7,8,206,15.6,2.1,198.568,19.388,175.05,165.816
6,4,8,3,293,16.1,3.1,281.541,21.698,245.85,234.835
6,4,9,4,415,16.1,3.1,402.576,24.766,346.59,332.739
6,4,10,5,379,16.7,2.6,370.216,25.415,317.76,304.761
6,4,11,3,404,17.8,3.1,393.774,26.475,336.30,322.757
6,4,12,85,605,19.4,5.2,683.853,31.819,569.26,547.932
6,4,13,682,234,19.4,5.7,868.434,34.886,711.63,684.631
6,4,14,6,394,18.9,6.7,383.043,25.148,329.16,315.832
6,4,15,112,301,18.3,6.7,357.858,23.573,308.33,295.594
6,4,16,55,176,16.7,5.2,188.948,19.598,164.73,155.735
6,4,17,2,61,16.1,5.2,58.236,16.212,52.04,45.49
6,4,18,4,29,15.6,6.2,26.983,14.966,24.30,18.287
6,4,19,0,0,14.4,4.6,0,14.4,0.00,0
6,4,20,0,0,14.4,3.1,0,14.4,0.00,0
6,4,21,0,0,14.4,3.1,0,14.4,0.00,0
6,4,22,0,0,14.4,2.6,0,14.4,0.00,0
6,4,23,0,0,15,3.6,0,15,0.00,0
6,5,0,0,0,14.4,3.1,0,14.4,0.00,0
6,5,1,0,0,15,3.6,0,15,0.00,0
6,5,2,0,0,15,2.1,0,15,0.00,0
6,5,3,0,0,15,3.1,0,15,0.00,0
6,5,4,0,1,15,1.5,0.97,12.95,0.88,0
6,5,5,0,42,15,3.1,38.973,14.238,35.21,28.992
6,5,6,5,122,15,3.1,115.251,16.19,102.95,95.353
6,5,7,5,198,15,3.1,189.642,18.182,168.18,159.107
6,5,8,8,190,15.6,2.1,186.387,19.376,164.45,155.465
6,5,9,5,318,15.6,1.5,309.195,23.372,267.93,256.321
6,5,10,5,414,16.1,2.6,404.407,25.401,347.13,333.269
6,5,11,2,409,16.1,3.6,397.651,24.505,342.78,329.042
6,5,12,2,462,16.7,3.6,449.582,26.25,384.37,369.372
6,5,13,1,474,17.8,3.6,459.09,27.671,389.86,374.692
6,5,14,519,302,18.9,4.1,715.051,33.761,587.67,565.653
6,5,15,556,254,18.9,4.1,594.776,31.732,488.20,469.789
6,5,16,234,193,16.7,6.7,279.917,20.907,237.37,226.571
6,5,17,96,122,16.7,6.2,128.224,18.117,108.43,100.709
6,5,18,30,34,15.6,7.2,30.409,15.149,27.36,21.292
6,5,19,0,0,14.4,4.6,0,14.4,0.00,0
6,5,20,0,0,14.4,4.1,0,14.4,0.00,0
6,5,21,0,0,14.4,4.1,0,14.4,0.00,0
6,5,22,0,0,13.9,3.1,0,13.9,0.00,0
6,5,23,0,0,13.9,2.1,0,13.9,0.00,0
6,6,0,0,0,13.9,2.1,0,13.9,0.00,0
6,6,1,0,0,13.3,2.1,0,13.3,0.00,0
6,6,2,0,0,12.8,1.5,0,12.8,0.00,0
6,6,3,0,0,13.9,1.5,0,13.9,0.00,0
6,6,4,0,0,15,2.1,0,15,0.00,0
6,6,5,4,44,15,2.6,40.654,14.222,36.73,30.484
6,6,6,7,82,16.1,2.6,79.253,16.456,70.52,63.598
6,6,7,4,189,16.1,1.5,180.716,19.688,159.19,150.325
6,6,8,6,251,16.7,2.1,243.307,21.979,212.16,202.007
6,6,9,6,384,17.2,1.5,373.975,27.045,318.51,305.489
6,6,10,4,378,18.3,1,368.22,29.641,309.76,296.988
6,6,11,4,437,18.3,4.6,427.102,26.355,364.97,350.568
6,6,12,787,183,20.6,3.6,965.197,41.411,765.97,736.63
6,6,13,821,179,20,6.2,937.495,36.254,762.97,733.764
6,6,14,785,165,19.4,5.7,790.987,33.843,649.04,624.619
6,6,15,724,143,18.9,7.2,593.421,28.083,493.54,474.942
6,6,16,626,113,18.3,5.7,368.337,24.629,296.36,283.971
6,6,17,436,75,17.2,5.2,148.086,19.337,106.29,98.619
6,6,18,83,30,16.7,3.1,24.899,16.017,22.32,16.341
6,6,19,0,0,16.1,2.1,0,16.1,0.00,0
6,6,20,0,0,15.6,2.1,0,15.6,0.00,0
6,6,21,0,0,15.6,0,0,15.6,0.00,0
6,6,22,0,0,15.6,0,0,15.6,0.00,0
6,6,23,0,0,15,1.5,0,15,0.00,0
6,7,0,0,0,15.6,2.1,0,15.6,0.00,0
6,7,1,0,0,15,3.1,0,15,0.00,0
6,7,2,0,0,15,2.6,0,15,0.00,0
6,7,3,0,0,15.6,2.6,0,15.6,0.00,0
6,7,4,0,2,15.6,3.1,1.94,14.013,1.75,0
6,7,5,3,28,15.6,2.1,26.574,14.386,23.99,17.986
6,7,6,7,109,15.6,2.6,103.957,16.537,92.58,85.205
6,7,7,3,190,16.7,1.5,181.167,20.41,159.08,150.223
6,7,8,3,266,17.8,2.1,255.62,23.415,221.44,211.057
6,7,9,7,395,19.4,1.5,385.438,29.602,324.29,311.098
6,7,10,602,323,20.6,5.2,897.019,37.04,727.50,699.832
6,7,11,829,148,20.6,4.6,970.958,40.558,773.92,744.225
6,7,12,857,138,20.6,6.2,982.474,37.635,794.67,764.047
6,7,13,873,134,20.6,5.7,935.418,37.702,755.77,726.88
6,7,14,849,123,20,6.2,797.372,33.818,654.15,629.529
6,7,15,798,107,19.4,6.2,604.236,29.722,497.85,479.108
6,7,16,717,86,18.9,5.2,381.329,25.89,302.78,290.204
6,7,17,231,120,17.8,5.7,150.978,19.878,120.04,112.074
6,7,18,114,33,16.7,5.2,27.246,16.164,24.41,18.39
6,7,19,0,0,16.1,4.6,0,16.1,0.00,0
6,7,20,0,0,15.6,2.6,0,15.6,0.00,0
6,7,21,0,0,16.1,3.1,0,16.1,0.00,0
6,7,22,0,0,16.1,3.6,0,16.1,0.00,0
6,7,23,0,0,16.1,2.6,0,16.1,0.00,0
6,8,0,0,0,15.6,3.1,0,15.6,0.00,0
6,8,1,0,0,15.6,2.6,0,15.6,0.00,0
6,8,2,0,0,15.6,2.6,0,15.6,0.00,0
6,8,3,0,0,15.6,1.5,0,15.6,0.00,0
6,8,4,0,1,15.6,1,0.97,13.317,0.88,0
6,8,5,1,36,16.1,1,33.972,14.793,30.62,24.485
6,8,6,7,95,16.1,1.5,91.189,16.831,81.06,73.92
6,8,7,1,102,16.1,2.1,97.388,17.141,86.82,79.564
6,8,8,2,268,16.7,2.1,256.84,22.065,223.91,213.462
6,8,9,4,331,17.2,2.1,320.855,24.783,276.21,264.373
6,8,10,4,399,17.2,3.1,388.662,25.634,333.25,319.799
6,8,11,2,453,18.3,4.1,440.777,27.212,375.13,360.417
6,8,12,2,438,17.2,4.6,425.844,25.349,365.62,351.205
6,8,13,0,434,18.3,4.6,418.831,26.291,358.01,343.821
6,8,14,0,378,17.8,6.7,362.659,23.186,314.55,301.636
6,8,15,500,243,17.8,6.7,550.471,26.221,464.18,446.59
6,8,16,419,173,17.8,5.7,339.27,23.536,279.76,267.831
6,8,17,220,106,16.7,6.2,136.96,18.344,109.08,101.349
6,8,18,15,35,15.6,4.1,31.229,15.054,28.11,22.028
6,8,19,0,0,14.4,3.1,0,14.4,0.00,0
6,8,20,0,0,15,2.6,0,15,0.00,0
6,8,21,0,0,15,2.6,0,15,0.00,0
6,8,22,0,0,15.6,2.6,0,15.6,0.00,0
6,8,23,0,0,15.6,2.6,0,15.6,0.00,0
6,9,0,0,0,15.6,3.1,0,15.6,0.00,0
6,9,1,0,0,15.6,2.1,0,15.6,0.00,0
6,9,2,0,0,15.6,1.5,0,15.6,0.00,0
6,9,3,0,0,15.6,1.5,0,15.6,0.00,0
6,9,4,0,2,15.6,0,1.94,12.12,1.77,0
6,9,5,1,43,16.1,0,39.824,13.96,36.03,29.79
6,9,6,0,129,16.7,2.1,120.271,18.199,106.74,99.059
6,9,7,7,197,17.2,2.6,189.547,20.608,166.18,157.156
6,9,8,8,237,18.3,4.1,231.193,22.288,201.28,191.403
6,9,9,2,365,18.9,5.2,352.109,24.751,303.16,290.578
6,9,10,316,472,19.4,5.2,770.809,33.4,636.57,612.65
6,9,11,476,392,20,5.7,874.952,35.726,714.50,687.379
6,9,12,716,250,20,5.2,966.244,38.481,778.25,748.364
6,9,13,741,193,20,5.7,878.197,36.052,715.46,688.301
6,9,14,736,192,19.4,6.2,781.09,32.862,644.17,619.952
6,9,15,673,166,18.9,5.7,585.545,29.424,484.49,466.213
6,9,16,567,130,18.3,4.6,361.782,25.416,291.78,279.514
6,9,17,379,86,17.2,5.2,148.128,19.327,109.54,101.798
6,9,18,67,33,16.1,3.1,28.642,15.496,25.73,19.693
6,9,19,0,0,15.6,2.6,0,15.6,0.00,0
6,9,20,0,0,15,2.1,0,15,0.00,0
6,9,21,0,0,15,1.5,0,15,0.00,0
6,9,22,0,0,15.6,3.1,0,15.6,0.00,0
6,9,23,0,0,15,1.5,0,15,0.00,0
6,10,0,0,0,15,0,0,15,0.00,0
6,10,1,0,0,13.9,2.1,0,13.9,0.00,0
6,10,2,0,0,13.3,2.1,0,13.3,0.00,0
6,10,3,0,0,13.3,2.1,0,13.3,0.00,0
6,10,4,0,4,15,2.1,3.879,13.241,3.52,0
6,10,5,0,55,15,3.1,49.267,14.496,44.46,38.062
6,10,6,1,120,16.1,3.6,112.415,17.212,100.16,92.624
6,10,7,3,218,16.1,2.6,207.296,19.921,182.45,173.033
6,10,8,0,283,17.2,3.1,269.793,22.547,234.70,223.972
6,10,9,5,364,18.3,3.1,353.579,25.784,302.94,290.365
6,10,10,0,379,18.9,3.1,365.318,26.867,311.42,298.598
6,10,11,515,403,20,4.1,924.024,39.016,742.28,713.976
6,10,12,689,297,21.1,6.2,985.696,38.136,795.29,764.645
6,10,13,669,284,19.4,6.2,905.274,35.123,740.98,712.735
6,10,14,626,261,19.4,6.7,761.37,31.924,631.14,607.431
6,10,15,555,223,19.4,6.2,565.998,29.019,470.48,452.68
6,10,16,433,170,18.9,5.7,342.931,24.738,280.97,269.001
6,10,17,239,105,17.2,5.7,140.105,19.018,110.46,102.702
6,10,18,19,36,15.6,4.6,32.023,15.1,28.82,22.723
6,10,19,0,0,15.6,4.1,0,15.6,0.00,0
6,10,20,0,0,15.6,3.1,0,15.6,0.00,0
6,10,21,0,0,15.6,2.1,0,15.6,0.00,0
6,10,22,0,0,15.6,2.6,0,15.6,0.00,0
6,10,23,0,0,15.6,2.1,0,15.6,0.00,0
6,11,0,0,0,16.1,2.1,0,16.1,0.00,0
6,11,1,0,0,15.6,0,0,15.6,0.00,0
6,11,2,0,0,16.1,2.1,0,16.1,0.00,0
6,11,3,0,0,16.1,2.6,0,16.1,0.00,0
6,11,4,0,3,16.1,3.1,2.91,14.566,2.63,0
6,11,5,1,44,16.1,1.5,40.635,15.175,36.56,30.313
6,11,6,3,116,16.1,0,109.278,18.131,96.85,89.385
6,11,7,7,194,16.7,1.5,186.696,20.595,163.69,154.721
6,11,8,7,264,17.8,2.1,256.267,23.45,221.92,211.528
6,11,9,1,333,18.3,3.1,320.233,24.967,275.44,263.628
6,11,10,132,400,19.4,4.1,521.5,29.892,438.11,421.395
6,11,11,531,406,20.6,4.6,942.515,39.339,755.90,727.005
6,11,12,725,275,20,5.7,999.457,38.19,806.18,775.035
6,11,13,433,314,20,5.7,718.659,33.233,593.80,571.545
6,11,14,487,273,19.4,7.2,662.3,29.601,555.43,534.619
6,11,15,460,316,18.3,5.7,593.535,28.798,495.47,476.81
6,11,16,128,210,17.8,6.7,251.834,21.555,215.80,205.56
6,11,17,120,111,16.7,4.1,124.072,18.453,103.23,95.63
6,11,18,10,29,15.6,3.6,26.688,14.902,24.04,18.033
6,11,19,0,0,15.6,3.6,0,15.6,0.00,0
6,11,20,0,0,15,2.6,0,15,0.00,0
6,11,21,0,0,15,0,0,15,0.00,0
6,11,22,0,0,15,0,0,15,0.00,0
6,11,23,0,0,15.6,2.1,0,15.6,0.00,0
6,12,0,0,0,15.6,0,0,15.6,0.00,0
6,12,1,0,0,15.6,2.1,0,15.6,0.00,0
6,12,2,0,0,15.6,1.5,0,15.6,0.00,0
6,12,3,0,0,16.1,2.6,0,16.1,0.00,0
6,12,4,0,0,16.1,1.5,0,16.1,0.00,0
6,12,5,1,23,16.1,2.6,21.799,14.862,19.64,13.715
6,12,6,5,96,16.7,2.6,91.586,17.327,81.34,74.194
6,12,7,0,221,17.2,2.6,208.656,21.006,182.81,173.389
6,12,8,0,265,17.8,2.1,252.559,23.423,218.81,208.494
6,12,9,0,331,17.8,4.1,317.452,23.781,274.57,262.784
6,12,10,5,401,18.3,3.1,391.417,26.788,333.79,320.319
6,12,11,586,339,20.6,4.1,930.638,39.788,744.68,716.273
6,12,12,620,305,20,5.2,925.468,37.8,747.96,719.408
6,12,13,734,217,20,6.2,899.146,35.549,734.37,706.41
6,12,14,737,194,20,5.2,784.633,35.101,640.06,616.003
6,12,15,449,265,19.4,4.6,540.814,30.519,447.39,430.364
6,12,16,306,174,18.3,5.2,293.374,23.504,243.96,232.99
6,12,17,274,110,16.7,4.1,151.614,19.144,118.61,110.676
6,12,18,50,30,16.1,4.1,26.381,15.487,23.70,17.701
6,12,19,0,0,16.1,4.1,0,16.1,0.00,0
6,12,20,0,0,15.6,2.6,0,15.6,0.00,0
6,12,21,0,0,15.6,2.6,0,15.6,0.00,0
6,12,22,0,0,15.6,2.6,0,15.6,0.00,0
6,12,23,0,0,15.6,1.5,0,15.6,0.00,0
6,13,0,0,0,16.1,1.5,0,16.1,0.00,0
6,13,1,0,0,16.1,1,0,16.1,0.00,0
6,13,2,0,0,16.1,2.1,0,16.1,0.00,0
6,13,3,0,0,16.1,1.5,0,16.1,0.00,0
6,13,4,0,3,16.1,1.5,2.91,14.025,2.63,0
6,13,5,1,41,16.1,2.1,38.164,15.22,34.33,28.126
6,13,6,1,147,16.7,0,136.445,19.982,120.06,112.087
6,13,7,4,222,17.8,1.5,211.419,22.543,183.81,174.362
6,13,8,75,359,18.3,2.6,394.857,27.086,335.49,321.976
6,13,9,271,470,18.9,4.1,685.022,33.003,566.23,545.013
6,13,10,515,443,19.4,3.6,930.052,40.027,743.10,714.761
6,13,11,445,397,20,3.6,848.282,39.365,680.24,654.554
6,13,12,593,363,20,5.7,956.757,37.298,775.19,745.445
6,13,13,538,349,19.4,4.6,849.099,37.029,688.54,662.512
6,13,14,590,284,20,6.2,754.946,32.983,622.73,599.357
6,13,15,432,321,18.3,6.7,581.428,27.682,488.24,469.828
6,13,16,98,256,17.8,4.1,280.877,23.667,239.84,228.98
6,13,17,47,127,16.7,4.1,124.859,18.532,108.00,100.294
6,13,18,0,26,16.1,2.6,24.632,15.306,22.15,16.176
6,13,19,0,0,16.1,2.6,0,16.1,0.00,0
6,13,20,0,0,16.1,1.5,0,16.1,0.00,0
6,13,21,0,0,15.6,2.6,0,15.6,0.00,0
6,13,22,0,0,15.6,1,0,15.6,0.00,0
6,13,23,0,0,15.6,1.5,0,15.6,0.00,0
6,14,0,0,0,15,2.1,0,15,0.00,0
6,14,1,0,0,15,1,0,15,0.00,0
6,14,2,0,0,15,1.5,0,15,0.00,0
6,14,3,0,0,15,0,0,15,0.00,0
6,14,4,0,3,14.4,1.5,2.91,12.275,2.65,0
6,14,5,2,48,15,2.1,43.813,14.249,39.58,33.279
6,14,6,4,101,15,1.5,95.887,15.891,85.78,78.542
6,14,7,3,173,15.6,2.6,165.123,18.3,146.39,137.829
6,14,8,2,309,16.1,3.1,295.856,21.953,258.06,246.717
6,14,9,632,266,17.8,2.6,791.843,36.419,642.75,618.58
6,14,10,693,225,19.4,3.6,883.378,39.248,708.49,681.623
6,14,11,726,232,20,5.2,962.44,38.422,775.43,745.675
6,14,12,266,460,19.4,6.7,726.765,31.42,606.13,583.404
6,14,13,349,463,18.9,5.2,783.858,33.717,646.24,621.931
6,14,14,168,326,18.3,5.7,453.497,26.436,386.74,371.672
6,14,15,351,277,17.2,5.7,489.197,25.511,415.21,399.238
6,14,16,50,179,16.7,4.6,190.08,20.109,165.56,156.546
6,14,17,30,115,15.6,4.1,111.451,16.93,97.79,90.298
6,14,18,0,27,15.6,3.6,25.506,14.844,22.98,16.994
6,14,19,0,0,15.6,2.6,0,15.6,0.00,0
6,14,20,0,0,15.6,0,0,15.6,0.00,0
6,14,21,0,0,15.6,0,0,15.6,0.00,0
6,14,22,0,0,15.6,2.1,0,15.6,0.00,0
6,14,23,0,0,15.6,2.1,0,15.6,0.00,0
6,15,0,0,0,15.6,2.1,0,15.6,0.00,0
6,15,1,0,0,15.6,1.5,0,15.6,0.00,0
6,15,2,0,0,15.6,2.1,0,15.6,0.00,0
6,15,3,0,0,15.6,1.5,0,15.6,0.00,0
6,15,4,0,3,15.6,1.5,2.91,13.51,2.64,0
6,15,5,1,50,16.1,2.1,45.356,15.417,40.76,34.436
6,15,6,1,106,16.7,1,99.705,17.852,88.57,81.281
6,15,7,426,198,18.9,1,388.223,29.56,315.20,302.272
6,15,8,503,274,19.4,3.6,604.373,32.336,496.87,478.158
6,15,9,550,335,18.9,4.1,790.211,35.618,644.18,619.958
6,15,10,655,298,20,4.1,918.958,39.72,735.30,707.293
6,15,11,697,266,20,4.6,967.357,39.925,773.52,743.846
6,15,12,661,270,20,5.2,931.438,37.968,752.15,723.414
6,15,13,649,271,20,5.7,874.83,35.944,713.17,686.115
6,15,14,662,240,20,4.6,770.978,35.92,626.64,603.11
6,15,15,591,207,20,5.7,574.781,30.328,474.58,456.636
6,15,16,470,160,20,3.6,350.842,27.732,282.75,270.74
6,15,17,282,102,19.4,5.7,146.968,21.385,112.91,105.093
6,15,18,29,30,17.2,2.1,27.618,16.552,24.69,18.674
6,15,19,0,1,16.7,2.6,0.97,15.024,0.87,0
6,15,20,0,0,16.7,3.1,0,16.7,0.00,0
6,15,21,0,0,16.7,3.1,0,16.7,0.00,0
6,15,22,0,0,16.7,1.5,0,16.7,0.00,0
6,15,23,0,0,17.2,2.1,0,17.2,0.00,0
6,16,0,0,0,17.2,4.1,0,17.2,0.00,0
6,16,1,0,0,17.2,4.6,0,17.2,0.00,0
6,16,2,0,0,16.7,4.1,0,16.7,0.00,0
6,16,3,0,0,16.7,3.1,0,16.7,0.00,0
6,16,4,0,0,16.1,3.6,0,16.1,0.00,0
6,16,5,1,34,16.7,3.1,32.239,15.807,28.92,22.823
6,16,6,4,121,16.7,2.6,113.939,17.928,101.03,93.472
6,16,7,3,211,17.2,2.6,200.633,20.869,175.81,166.555
6,16,8,63,277,18.3,1.5,307.83,26.088,262.74,251.268
6,16,9,798,127,21.7,1,785.921,44.896,610.62,587.716
6,16,10,886,130,21.1,3.6,959.844,42.518,757.06,728.11
6,16,11,899,134,21.7,4.6,1024.27,42.824,807.02,775.837
6,16,12,896,134,21.7,4.1,1016.153,43.803,796.57,765.867
6,16,13,814,119,21.1,5.2,867.868,37.952,700.34,673.817
6,16,14,725,175,20.6,4.1,757.515,37.112,611.81,588.858
6,16,15,720,135,20.6,3.1,587.423,34.65,473.53,455.623
6,16,16,721,84,19.4,3.6,386.391,27.952,304.62,291.994
6,16,17,566,58,18.9,3.6,161.539,21.948,109.63,101.889
6,16,18,19,34,17.8,3.6,30.764,17.325,27.41,21.34
6,16,19,0,1,17.8,2.6,0.97,16.161,0.87,0
6,16,20,0,0,17.8,1.5,0,17.8,0.00,0
6,16,21,0,0,17.8,2.6,0,17.8,0.00,0
6,16,22,0,0,17.2,2.6,0,17.2,0.00,0
6,16,23,0,0,17.2,2.6,0,17.2,0.00,0
6,17,0,0,0,17.2,1.5,0,17.2,0.00,0
6,17,1,0,0,17.2,1.5,0,17.2,0.00,0
6,17,2,0,0,17.2,1.5,0,17.2,0.00,0
6,17,3,0,0,17.2,2.1,0,17.2,0.00,0
6,17,4,0,1,17.2,1.5,0.97,15.105,0.87,0
6,17,5,1,49,17.8,2.1,44.526,17.129,39.71,33.403
6,17,6,1,102,17.8,1.5,96.053,18.76,84.97,77.757
6,17,7,1,184,18.3,2.1,174.467,21.476,152.50,143.794
6,17,8,524,244,20.6,2.6,588.77,33.992,479.76,461.646
6,17,9,532,263,21.1,3.6,704.667,36.63,571.44,550.034
6,17,10,678,254,21.1,4.1,897.094,40.179,716.11,688.929
6,17,11,722,246,21.7,4.6,971.904,41.676,770.28,740.748
6,17,12,630,246,21.1,5.2,877.288,38.062,708.09,681.243
6,17,13,704,245,21.7,5.2,900.106,38.95,722.83,695.36
6,17,14,644,226,21.1,5.2,743.752,35.439,605.95,583.231
6,17,15,525,231,20,5.2,557.403,30.566,460.35,442.89
6,17,16,205,213,18.9,5.7,287.622,23.723,242.17,231.249
6,17,17,0,100,17.8,4.1,93.37,18.973,82.57,75.406
6,17,18,1,29,16.7,4.6,27.26,16.033,24.43,18.416
6,17,19,0,0,15.6,3.6,0,15.6,0.00,0
6,17,20,0,0,15,2.6,0,15,0.00,0
6,17,21,0,0,15,2.1,0,15,0.00,0
6,17,22,0,0,15,1.5,0,15,0.00,0
6,17,23,0,0,15,2.1,0,15,0.00,0
6,18,0,0,0,15,1,0,15,0.00,0
6,18,1,0,0,15.6,2.1,0,15.6,0.00,0
6,18,2,0,0,15,2.1,0,15,0.00,0
6,18,3,0,0,15.6,1.5,0,15.6,0.00,0
6,18,4,0,2,15.6,1.5,1.94,13.48,1.76,0
6,18,5,0,43,16.1,1,39.726,14.991,35.77,29.541
6,18,6,1,116,16.7,1.5,108.703,17.993,96.51,89.049
6,18,7,4,192,17.8,2.1,183.316,21.248,160.32,151.432
6,18,8,3,312,19.4,4.6,299.298,24.528,257.94,246.598
6,18,9,314,360,20.6,4.1,616.006,33.044,508.86,489.732
6,18,10,462,436,20.6,5.2,872.566,36.93,708.09,681.244
6,18,11,663,308,20.6,5.7,974.234,38.247,785.63,755.416
6,18,12,598,373,20,5.2,971.379,38.728,781.43,751.401
6,18,13,146,548,19.4,5.7,677.007,31.84,563.40,542.292
6,18,14,80,463,18.9,5.7,513.739,27.984,435.33,418.701
6,18,15,7,305,17.8,5.7,294.567,22.673,256.01,244.721
6,18,16,170,234,17.2,5.7,292.342,21.719,249.72,238.604
6,18,17,297,101,17.2,4.6,149.178,19.417,115.06,107.203
6,18,18,39,38,16.7,3.1,32.596,16.206,29.19,23.086
6,18,19,0,1,16.7,2.6,0.97,15.039,0.87,0
6,18,20,0,0,16.7,2.1,0,16.7,0.00,0
6,18,21,0,0,16.1,2.1,0,16.1,0.00,0
6,18,22,0,0,15.6,1.5,0,15.6,0.00,0
6,18,23,0,0,15,2.1,0,15,0.00,0
6,19,0,0,0,15.6,2.1,0,15.6,0.00,0
6,19,1,0,0,15.6,1.5,0,15.6,0.00,0
6,19,2,0,0,15.6,2.1,0,15.6,0.00,0
6,19,3,0,0,15,1.5,0,15,0.00,0
6,19,4,2,2,15,2.1,1.94,13.092,1.76,0
6,19,5,31,69,16.1,1.5,56.837,15.659,51.03,44.498
6,19,6,37,100,17.2,0,102.33,19.152,88.43,81.14
6,19,7,157,182,18.3,2.1,245.883,23.403,208.63,198.566
6,19,8,741,149,20.6,1.5,640.361,37.792,510.35,491.168
6,19,9,797,162,21.7,3.1,821.638,40.738,652.19,627.648
6,19,10,829,174,20,4.1,954.551,40.513,760.63,731.525
6,19,11,846,179,20.6,4.1,1022.719,42.743,806.13,774.994
6,19,12,840,179,21.1,4.1,1012.365,43.143,796.31,765.619
6,19,13,827,172,20,5.2,937.757,38.155,756.02,727.112
6,19,14,796,159,20,4.6,797.922,36.571,646.10,621.803
6,19,15,741,139,19.4,5.2,606.009,30.965,497.50,478.767
6,19,16,646,111,19.4,5.2,381.548,26.403,305.33,292.687
6,19,17,471,76,18.3,4.1,161.431,21.166,115.23,107.37
6,19,18,137,34,17.2,3.6,28.096,16.652,25.11,19.082
6,19,19,0,1,16.7,3.1,0.97,15.123,0.87,0
6,19,20,0,0,16.7,3.6,0,16.7,0.00,0
6,19,21,0,0,16.7,2.1,0,16.7,0.00,0
6,19,22,0,0,16.1,2.6,0,16.1,0.00,0
6,19,23,0,0,15.6,2.1,0,15.6,0.00,0
6,20,0,0,0,15,1.5,0,15,0.00,0
6,20,1,0,0,15,2.6,0,15,0.00,0
6,20,2,0,0,15,1.5,0,15,0.00,0
6,20,3,0,0,15,2.1,0,15,0.00,0
