PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,6,7,11,34,7.8,4.1,40.518,7.168,37.17,30.913
1,6,8,253,98,10,2.6,231.809,14.189,202.09,192.191
1,6,9,460,134,11.7,2.6,451.335,21.981,387.75,372.653
1,6,10,609,135,13.3,3.1,622.867,27.559,525.72,505.987
1,6,11,597,150,14.4,3.1,668.415,30.105,559.03,538.084
1,6,12,688,150,15.6,2.6,740.81,34.047,607.71,584.925
1,6,13,668,135,14.4,4.1,665.241,28.843,557.90,536.993
1,6,14,528,116,14.4,4.1,471.547,24.553,399.58,384.103
1,6,15,365,78,13.9,3.6,265.17,19.468,223.40,212.961
1,6,16,82,30,12.8,4.1,61.462,13.151,51.47,44.931
1,6,17,0,0,11.7,3.6,0,11.7,0.00,0
1,6,18,0,0,11.7,2.1,0,11.7,0.00,0
1,6,19,0,0,11.7,1.5,0,11.7,0.00,0
1,6,20,0,0,11.7,3.1,0,11.7,0.00,0
1,6,21,0,0,10.6,2.1,0,10.6,0.00,0
1,6,22,0,0,10.6,2.1,0,10.6,0.00,0
1,6,23,0,0,10.6,2.1,0,10.6,0.00,0
1,7,0,0,0,10,2.6,0,10,0.00,0
1,7,1,0,0,9.4,2.1,0,9.4,0.00,0
1,7,2,0,0,8.9,2.1,0,8.9,0.00,0
1,7,3,0,0,8.3,2.1,0,8.3,0.00,0
1,7,4,0,0,7.8,2.6,0,7.8,0.00,0
1,7,5,0,0,7.8,1.5,0,7.8,0.00,0
1,7,6,0,0,8.9,0,0,8.9,0.00,0
1,7,7,21,35,10,1.5,44.558,9.311,40.02,33.707
1,7,8,520,53,11.1,1.5,311.64,18.373,261.41,249.982
1,7,9,721,66,12.8,2.1,538.044,26.282,450.87,433.729
1,7,10,815,81,14.4,2.1,710.976,32.973,583.98,562.097
1,7,11,746,84,15,3.1,709.193,31.837,587.84,565.809
1,7,12,585,154,14.4,5.2,663.622,26.886,563.67,542.548
1,7,13,467,178,14.4,5.2,561.808,24.879,480.71,462.559
1,7,14,525,133,14.4,6.2,490.202,22.41,419.95,403.83
1,7,15,468,64,13.9,5.2,299.988,19.102,251.68,240.504
1,7,16,289,23,12.8,4.6,114.136,14.252,87.94,80.663
1,7,17,0,0,11.7,3.6,0,11.7,0.00,0
1,7,18,0,0,12.2,3.1,0,12.2,0.00,0
1,7,19,0,0,12.2,3.1,0,12.2,0.00,0
1,7,20,0,0,11.7,2.6,0,11.7,0.00,0
1,7,21,0,0,11.7,2.6,0,11.7,0.00,0
1,7,22,0,0,10,1.5,0,10,0.00,0
1,7,23,0,0,10,2.6,0,10,0.00,0
1,8,0,0,0,9.4,3.1,0,9.4,0.00,0
1,8,1,0,0,9.4,3.1,0,9.4,0.00,0
1,8,2,0,0,9.4,2.1,0,9.4,0.00,0
1,8,3,0,0,9.4,2.1,0,9.4,0.00,0
1,8,4,0,0,9.4,2.1,0,9.4,0.00,0
1,8,5,0,0,8.9,2.1,0,8.9,0.00,0
1,8,6,0,0,8.9,2.1,0,8.9,0.00,0
1,8,7,3,26,10,3.1,26.024,9.138,23.89,17.883
1,8,8,39,93,11.1,5.2,115.603,11.997,104.34,96.712
1,8,9,376,172,12.8,2.6,433.997,22.309,373.15,358.498
1,8,10,606,142,13.9,2.6,628.839,29.07,527.03,507.249
1,8,11,771,123,15,2.1,778.926,35.532,634.23,610.407
1,8,12,768,99,15,3.6,745.397,31.95,617.59,594.418
1,8,13,708,93,14.4,5.7,649.228,25.986,551.71,531.03
1,8,14,390,132,13.9,6.2,405.789,20.556,351.27,337.286
1,8,15,455,79,13.9,4.6,309.173,19.569,259.73,248.346
1,8,16,205,27,12.8,3.6,94.993,14.08,75.13,68.118
1,8,17,0,0,12.2,2.6,0,12.2,0.00,0
1,8,18,0,0,12.8,2.1,0,12.8,0.00,0
1,8,19,0,0,12.8,3.6,0,12.8,0.00,0
1,8,20,0,0,12.2,1.5,0,12.2,0.00,0
1,8,21,0,0,12.2,2.1,0,12.2,0.00,0
